VC:4bd5283 BD:Sep 19 2013 SN:LGR-13-0274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  09/11/2021 14:24:01.000,    9.24018e+00,    0.00000e+00,    1.81954e+04,    0.00000e+00,    6.40107e+02,    0.00000e+00,    9.41142e+00,    0.00000e+00,    6.51970e+02,    0.00000e+00,    1.40034e+02,    0.00000e+00,    2.25620e+01,    0.00000e+00,    2.23797e+01,    0.00000e+00,    9.44830e+00,    0.00000e+00,    1.01112e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:01.864,    7.36040e+00,    0.00000e+00,    1.66148e+04,    0.00000e+00,    6.12624e+02,    0.00000e+00,    7.48475e+00,    0.00000e+00,    6.22974e+02,    0.00000e+00,    1.40053e+02,    0.00000e+00,    2.25617e+01,    0.00000e+00,    2.23723e+01,    0.00000e+00,    9.45283e+00,    0.00000e+00,    1.01166e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:03.375,    5.63036e+00,    0.00000e+00,    1.54078e+04,    0.00000e+00,    5.76486e+02,    0.00000e+00,    5.71846e+00,    0.00000e+00,    5.85507e+02,    0.00000e+00,    1.40034e+02,    0.00000e+00,    2.25608e+01,    0.00000e+00,    2.23478e+01,    0.00000e+00,    9.46943e+00,    0.00000e+00,    1.00830e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:03.789,    4.99435e+00,    0.00000e+00,    1.47408e+04,    0.00000e+00,    5.63407e+02,    0.00000e+00,    5.06908e+00,    0.00000e+00,    5.71836e+02,    0.00000e+00,    1.40043e+02,    0.00000e+00,    2.25601e+01,    0.00000e+00,    2.23330e+01,    0.00000e+00,    9.47515e+00,    0.00000e+00,    1.00993e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:04.637,    4.43936e+00,    0.00000e+00,    1.34556e+04,    0.00000e+00,    5.38405e+02,    0.00000e+00,    4.49991e+00,    0.00000e+00,    5.45749e+02,    0.00000e+00,    1.40027e+02,    0.00000e+00,    2.25605e+01,    0.00000e+00,    2.23142e+01,    0.00000e+00,    9.45930e+00,    0.00000e+00,    1.01097e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:05.484,    4.10006e+00,    0.00000e+00,    1.33815e+04,    0.00000e+00,    5.41417e+02,    0.00000e+00,    4.15567e+00,    0.00000e+00,    5.48760e+02,    0.00000e+00,    1.40049e+02,    0.00000e+00,    2.25602e+01,    0.00000e+00,    2.23395e+01,    0.00000e+00,    9.47627e+00,    0.00000e+00,    1.00920e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:06.333,    3.78413e+00,    0.00000e+00,    1.29623e+04,    0.00000e+00,    5.27042e+02,    0.00000e+00,    3.83382e+00,    0.00000e+00,    5.33963e+02,    0.00000e+00,    1.40042e+02,    0.00000e+00,    2.25597e+01,    0.00000e+00,    2.23831e+01,    0.00000e+00,    9.47383e+00,    0.00000e+00,    1.00968e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:07.180,    3.53726e+00,    0.00000e+00,    1.26668e+04,    0.00000e+00,    5.27906e+02,    0.00000e+00,    3.58265e+00,    0.00000e+00,    5.34679e+02,    0.00000e+00,    1.40020e+02,    0.00000e+00,    2.25596e+01,    0.00000e+00,    2.23944e+01,    0.00000e+00,    9.46895e+00,    0.00000e+00,    1.01174e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:08.034,    3.31350e+00,    0.00000e+00,    1.25107e+04,    0.00000e+00,    5.26082e+02,    0.00000e+00,    3.35548e+00,    0.00000e+00,    5.32747e+02,    0.00000e+00,    1.40032e+02,    0.00000e+00,    2.25591e+01,    0.00000e+00,    2.23925e+01,    0.00000e+00,    9.47281e+00,    0.00000e+00,    1.01100e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:08.881,    3.11147e+00,    0.00000e+00,    1.23057e+04,    0.00000e+00,    5.15473e+02,    0.00000e+00,    3.15024e+00,    0.00000e+00,    5.21895e+02,    0.00000e+00,    1.40035e+02,    0.00000e+00,    2.25590e+01,    0.00000e+00,    2.24243e+01,    0.00000e+00,    9.46438e+00,    0.00000e+00,    1.01176e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:09.729,    2.95948e+00,    0.00000e+00,    1.23251e+04,    0.00000e+00,    5.09798e+02,    0.00000e+00,    2.99641e+00,    0.00000e+00,    5.16160e+02,    0.00000e+00,    1.40049e+02,    0.00000e+00,    2.25597e+01,    0.00000e+00,    2.24473e+01,    0.00000e+00,    9.46966e+00,    0.00000e+00,    1.01116e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:10.577,    2.82537e+00,    0.00000e+00,    1.22556e+04,    0.00000e+00,    5.00400e+02,    0.00000e+00,    2.86043e+00,    0.00000e+00,    5.06609e+02,    0.00000e+00,    1.40045e+02,    0.00000e+00,    2.25591e+01,    0.00000e+00,    2.24467e+01,    0.00000e+00,    9.47381e+00,    0.00000e+00,    1.01120e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:11.425,    2.69816e+00,    0.00000e+00,    1.21765e+04,    0.00000e+00,    4.87332e+02,    0.00000e+00,    2.73142e+00,    0.00000e+00,    4.93340e+02,    0.00000e+00,    1.40036e+02,    0.00000e+00,    2.25590e+01,    0.00000e+00,    2.24907e+01,    0.00000e+00,    9.46975e+00,    0.00000e+00,    1.01107e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:12.272,    2.60180e+00,    0.00000e+00,    1.23726e+04,    0.00000e+00,    4.83270e+02,    0.00000e+00,    2.63440e+00,    0.00000e+00,    4.89324e+02,    0.00000e+00,    1.40053e+02,    0.00000e+00,    2.25589e+01,    0.00000e+00,    2.25109e+01,    0.00000e+00,    9.47248e+00,    0.00000e+00,    1.01172e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:13.121,    2.51833e+00,    0.00000e+00,    1.24892e+04,    0.00000e+00,    4.74755e+02,    0.00000e+00,    2.55018e+00,    0.00000e+00,    4.80759e+02,    0.00000e+00,    1.40051e+02,    0.00000e+00,    2.25591e+01,    0.00000e+00,    2.25024e+01,    0.00000e+00,    9.47547e+00,    0.00000e+00,    1.01196e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:13.968,    2.44181e+00,    0.00000e+00,    1.24092e+04,    0.00000e+00,    4.69208e+02,    0.00000e+00,    2.47249e+00,    0.00000e+00,    4.75104e+02,    0.00000e+00,    1.40035e+02,    0.00000e+00,    2.25588e+01,    0.00000e+00,    2.24508e+01,    0.00000e+00,    9.47392e+00,    0.00000e+00,    1.01217e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:14.816,    2.37735e+00,    0.00000e+00,    1.24861e+04,    0.00000e+00,    4.70541e+02,    0.00000e+00,    2.40741e+00,    0.00000e+00,    4.76490e+02,    0.00000e+00,    1.40046e+02,    0.00000e+00,    2.25586e+01,    0.00000e+00,    2.24455e+01,    0.00000e+00,    9.46491e+00,    0.00000e+00,    1.01139e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:15.664,    2.32104e+00,    0.00000e+00,    1.25101e+04,    0.00000e+00,    4.71503e+02,    0.00000e+00,    2.35044e+00,    0.00000e+00,    4.77476e+02,    0.00000e+00,    1.40048e+02,    0.00000e+00,    2.25591e+01,    0.00000e+00,    2.24394e+01,    0.00000e+00,    9.47194e+00,    0.00000e+00,    1.01091e+01,    0.00000e+00,              3,     V:5 Flume5
  09/11/2021 14:24:16.512,    2.25989e+00,    0.00000e+00,    1.23812e+04,    0.00000e+00,    4.66196e+02,    0.00000e+00,    2.28822e+00,    0.00000e+00,    4.72041e+02,    0.00000e+00,    1.40040e+02,    0.00000e+00,    2.25589e+01,    0.00000e+00,    2.24742e+01,    0.00000e+00,    9.47285e+00,    0.00000e+00,    1.01225e+01,    0.00000e+00,              3,     V:5 Flume5
